"","date","comuna","region","codigo_comuna","n"
"1",2020-03-16,"Algarrobo","Valparaiso",5602,0
"2",2020-03-16,"Alhue","Metropolitana",13502,0
"3",2020-03-16,"Alto Biobio","Biobio",8314,0
"4",2020-03-16,"Alto del Carmen","Atacama",3302,0
"5",2020-03-16,"Alto Hospicio","Tarapaca",1107,0
"6",2020-03-16,"Ancud","Los Lagos",10202,0
"7",2020-03-16,"Andacollo","Coquimbo",4103,0
"8",2020-03-16,"Angol","La Araucania",9201,0
"9",2020-03-16,"Antartica","Magallanes y la Antartica",12202,0
"10",2020-03-16,"Antofagasta","Antofagasta",2101,0
"11",2020-03-16,"Antuco","Biobio",8302,0
"12",2020-03-16,"Arauco","Biobio",8202,0
"13",2020-03-16,"Arica","Arica y Parinacota",15101,0
"14",2020-03-16,"Aysén","Aysen",11201,0
"15",2020-03-16,"Buin","Metropolitana",13402,0
"16",2020-03-16,"Bulnes","Nuble",16102,0
"17",2020-03-16,"Cabildo","Valparaiso",5402,0
"18",2020-03-16,"Cabo de Hornos","Magallanes y la Antartica",12201,0
"19",2020-03-16,"Cabrero","Biobio",8303,0
"20",2020-03-16,"Calama","Antofagasta",2201,0
"21",2020-03-16,"Calbuco","Los Lagos",10102,0
"22",2020-03-16,"Caldera","Atacama",3102,0
"23",2020-03-16,"Calera","Valparaiso",5502,0
"24",2020-03-16,"Calera de Tango","Metropolitana",13403,0
"25",2020-03-16,"Calle Larga","Valparaiso",5302,0
"26",2020-03-16,"Camarones","Arica y Parinacota",15102,0
"27",2020-03-16,"Camina","Tarapaca",1402,0
"28",2020-03-16,"Canela","Coquimbo",4202,0
"29",2020-03-16,"Canete","Biobio",8203,0
"30",2020-03-16,"Carahue","La Araucania",9102,0
"31",2020-03-16,"Cartagena","Valparaiso",5603,0
"32",2020-03-16,"Casablanca","Valparaiso",5102,0
"33",2020-03-16,"Castro","Los Lagos",10201,0
"34",2020-03-16,"Catemu","Valparaiso",5702,0
"35",2020-03-16,"Cauquenes","Maule",7201,0
"36",2020-03-16,"Cerrillos","Metropolitana",13102,0
"37",2020-03-16,"Cerro Navia","Metropolitana",13103,0
"38",2020-03-16,"Chaiten","Los Lagos",10401,0
"39",2020-03-16,"Chanaral","Atacama",3201,0
"40",2020-03-16,"Chanco","Maule",7202,0
"41",2020-03-16,"Chepica","Del Libertador General Bernardo O’Higgins",6302,0
"42",2020-03-16,"Chiguayante","Biobio",8103,0
"43",2020-03-16,"Chile Chico","Aysen",11401,0
"44",2020-03-16,"Chillan","Nuble",16101,0
"45",2020-03-16,"Chillan Viejo","Nuble",16103,0
"46",2020-03-16,"Chimbarongo","Del Libertador General Bernardo O’Higgins",6303,0
"47",2020-03-16,"Cholchol","La Araucania",9121,0
"48",2020-03-16,"Chonchi","Los Lagos",10203,0
"49",2020-03-16,"Cisnes","Aysen",11202,0
"50",2020-03-16,"Cobquecura","Nuble",16202,0
"51",2020-03-16,"Cochamo","Los Lagos",10103,0
"52",2020-03-16,"Cochrane","Aysen",11301,0
"53",2020-03-16,"Codegua","Del Libertador General Bernardo O’Higgins",6102,0
"54",2020-03-16,"Coelemu","Nuble",16203,0
"55",2020-03-16,"Coihueco","Nuble",16302,0
"56",2020-03-16,"Coinco","Del Libertador General Bernardo O’Higgins",6103,0
"57",2020-03-16,"Colbun","Maule",7402,0
"58",2020-03-16,"Colchane","Tarapaca",1403,0
"59",2020-03-16,"Colina","Metropolitana",13301,0
"60",2020-03-16,"Collipulli","La Araucania",9202,0
"61",2020-03-16,"Coltauco","Del Libertador General Bernardo O’Higgins",6104,0
"62",2020-03-16,"Combarbala","Coquimbo",4302,0
"63",2020-03-16,"Concepcion","Biobio",8101,0
"64",2020-03-16,"Conchali","Metropolitana",13104,0
"65",2020-03-16,"Concon","Valparaiso",5103,0
"66",2020-03-16,"Constitucion","Maule",7102,0
