"","region","codigo_comuna","comuna","poblacion","semana","new_cases_sint","new_cases","Oportunidad","dia"
"1","Antofagasta",2101,"Antofagasta",425725,17,30,42,0.714285714285714,2020-04-23
"2","Antofagasta",2101,"Antofagasta",425725,18,67,101,0.663366336633663,2020-04-30
"3","Antofagasta",2101,"Antofagasta",425725,19,27,57,0.473684210526316,2020-05-07
"4","Antofagasta",2101,"Antofagasta",425725,20,67,155,0.432258064516129,2020-05-14
"5","Antofagasta",2101,"Antofagasta",425725,21,55,103,0.533980582524272,2020-05-21
"6","Antofagasta",2101,"Antofagasta",425725,22,54,155,0.348387096774194,2020-05-28
"7","Antofagasta",2101,"Antofagasta",425725,23,86,166,0.518072289156627,2020-06-04
"8","Antofagasta",2102,"Mejillones",14776,17,20,22,0.909090909090909,2020-04-23
"9","Antofagasta",2102,"Mejillones",14776,18,48,49,0.979591836734694,2020-04-30
"10","Antofagasta",2102,"Mejillones",14776,19,7,16,0.4375,2020-05-07
"11","Antofagasta",2102,"Mejillones",14776,20,4,17,0.235294117647059,2020-05-14
"12","Antofagasta",2102,"Mejillones",14776,21,0,1,0,2020-05-21
"13","Antofagasta",2102,"Mejillones",14776,22,4,18,0.222222222222222,2020-05-28
"14","Antofagasta",2102,"Mejillones",14776,23,0,6,0,2020-06-04
"15","Antofagasta",2103,"Sierra Gorda",1746,17,0,0,NA,2020-04-23
"16","Antofagasta",2103,"Sierra Gorda",1746,18,0,0,NA,2020-04-30
"17","Antofagasta",2103,"Sierra Gorda",1746,19,0,0,NA,2020-05-07
"18","Antofagasta",2103,"Sierra Gorda",1746,20,2,2,1,2020-05-14
"19","Antofagasta",2103,"Sierra Gorda",1746,21,0,2,0,2020-05-21
"20","Antofagasta",2103,"Sierra Gorda",1746,22,0,1,0,2020-05-28
"21","Antofagasta",2103,"Sierra Gorda",1746,23,0,5,0,2020-06-04
"22","Antofagasta",2104,"Taltal",13657,17,0,0,NA,2020-04-23
"23","Antofagasta",2104,"Taltal",13657,18,0,1,0,2020-04-30
"24","Antofagasta",2104,"Taltal",13657,19,1,1,1,2020-05-07
"25","Antofagasta",2104,"Taltal",13657,20,1,1,1,2020-05-14
"26","Antofagasta",2104,"Taltal",13657,21,0,2,0,2020-05-21
"27","Antofagasta",2104,"Taltal",13657,22,4,7,0.571428571428571,2020-05-28
"28","Antofagasta",2104,"Taltal",13657,23,0,0,NA,2020-06-04
"29","Antofagasta",2201,"Calama",190336,17,14,19,0.736842105263158,2020-04-23
"30","Antofagasta",2201,"Calama",190336,18,7,13,0.538461538461538,2020-04-30
"31","Antofagasta",2201,"Calama",190336,19,1,12,0.0833333333333333,2020-05-07
"32","Antofagasta",2201,"Calama",190336,20,14,45,0.311111111111111,2020-05-14
"33","Antofagasta",2201,"Calama",190336,21,8,48,0.166666666666667,2020-05-21
"34","Antofagasta",2201,"Calama",190336,22,2,71,0.028169014084507,2020-05-28
"35","Antofagasta",2201,"Calama",190336,23,3,130,0.0230769230769231,2020-06-04
"36","Antofagasta",2202,"Ollague",287,17,0,0,NA,2020-04-23
"37","Antofagasta",2202,"Ollague",287,18,0,0,NA,2020-04-30
"38","Antofagasta",2202,"Ollague",287,19,0,0,NA,2020-05-07
"39","Antofagasta",2202,"Ollague",287,20,0,0,NA,2020-05-14
"40","Antofagasta",2202,"Ollague",287,21,0,0,NA,2020-05-21
"41","Antofagasta",2202,"Ollague",287,22,0,0,NA,2020-05-28
"42","Antofagasta",2202,"Ollague",287,23,0,0,NA,2020-06-04
"43","Antofagasta",2203,"San Pedro de Atacama",10434,17,0,0,NA,2020-04-23
"44","Antofagasta",2203,"San Pedro de Atacama",10434,18,0,0,NA,2020-04-30
"45","Antofagasta",2203,"San Pedro de Atacama",10434,19,0,0,NA,2020-05-07
"46","Antofagasta",2203,"San Pedro de Atacama",10434,20,0,0,NA,2020-05-14
"47","Antofagasta",2203,"San Pedro de Atacama",10434,21,0,0,NA,2020-05-21
"48","Antofagasta",2203,"San Pedro de Atacama",10434,22,0,0,NA,2020-05-28
"49","Antofagasta",2203,"San Pedro de Atacama",10434,23,0,2,0,2020-06-04
"50","Antofagasta",2301,"Tocopilla",28079,17,0,0,NA,2020-04-23
"51","Antofagasta",2301,"Tocopilla",28079,18,0,1,0,2020-04-30
"52","Antofagasta",2301,"Tocopilla",28079,19,1,1,1,2020-05-07
"53","Antofagasta",2301,"Tocopilla",28079,20,3,5,0.6,2020-05-14
"54","Antofagasta",2301,"Tocopilla",28079,21,0,3,0,2020-05-21
"55","Antofagasta",2301,"Tocopilla",28079,22,1,2,0.5,2020-05-28
"56","Antofagasta",2301,"Tocopilla",28079,23,2,3,0.666666666666667,2020-06-04
"57","Antofagasta",2302,"Maria Elena",6814,17,4,6,0.666666666666667,2020-04-23
"58","Antofagasta",2302,"Maria Elena",6814,18,3,5,0.6,2020-04-30
"59","Antofagasta",2302,"Maria Elena",6814,19,0,2,0,2020-05-07
"60","Antofagasta",2302,"Maria Elena",6814,20,3,28,0.107142857142857,2020-05-14
"61","Antofagasta",2302,"Maria Elena",6814,21,3,15,0.2,2020-05-21
"62","Antofagasta",2302,"Maria Elena",6814,22,1,3,0.333333333333333,2020-05-28
"63","Antofagasta",2302,"Maria Elena",6814,23,1,8,0.125,2020-06-04
"64","Araucanía",9101,"Temuco",302931,17,13,21,0.619047619047619,2020-04-23
"65","Araucanía",9101,"Temuco",302931,18,2,10,0.2,2020-04-30
"66","Araucanía",9101,"Temuco",302931,19,17,23,0.739130434782609,2020-05-07
"67","Araucanía",9101,"Temuco",302931,20,24,30,0.8,2020-05-14
"68","Araucanía",9101,"Temuco",302931,21,13,19,0.684210526315789,2020-05-21
"69","Araucanía",9101,"Temuco",302931,22,2,6,0.333333333333333,2020-05-28
"70","Araucanía",9101,"Temuco",302931,23,9,11,0.818181818181818,2020-06-04
"71","Araucanía",9102,"Carahue",25486,17,1,1,1,2020-04-23
"72","Araucanía",9102,"Carahue",25486,18,0,4,0,2020-04-30
"73","Araucanía",9102,"Carahue",25486,19,0,1,0,2020-05-07
"74","Araucanía",9102,"Carahue",25486,20,0,1,0,2020-05-14
"75","Araucanía",9102,"Carahue",25486,21,5,6,0.833333333333333,2020-05-21
"76","Araucanía",9102,"Carahue",25486,22,2,3,0.666666666666667,2020-05-28
"77","Araucanía",9102,"Carahue",25486,23,3,6,0.5,2020-06-04
"78","Araucanía",9103,"Cunco",18055,17,0,0,NA,2020-04-23
"79","Araucanía",9103,"Cunco",18055,18,0,0,NA,2020-04-30
"80","Araucanía",9103,"Cunco",18055,19,0,0,NA,2020-05-07
"81","Araucanía",9103,"Cunco",18055,20,1,1,1,2020-05-14
"82","Araucanía",9103,"Cunco",18055,21,6,6,1,2020-05-21
"83","Araucanía",9103,"Cunco",18055,22,0,0,NA,2020-05-28
"84","Araucanía",9103,"Cunco",18055,23,7,8,0.875,2020-06-04
