"","region","codigo_comuna","comuna","poblacion","semana","oportunidad_comuna","dia","oportunidad_region","oportunidad_pais"
"1","Antofagasta",2101,"Antofagasta",425725,17,0.71,2020-04-23,0.76,0.72
"2","Antofagasta",2101,"Antofagasta",425725,18,0.66,2020-04-30,0.74,0.71
"3","Antofagasta",2101,"Antofagasta",425725,19,0.47,2020-05-07,0.42,0.63
"4","Antofagasta",2101,"Antofagasta",425725,20,0.43,2020-05-14,0.37,0.49
"5","Antofagasta",2101,"Antofagasta",425725,21,0.53,2020-05-21,0.38,0.37
"6","Antofagasta",2101,"Antofagasta",425725,22,0.35,2020-05-28,0.26,0.29
"7","Antofagasta",2101,"Antofagasta",425725,23,0.52,2020-06-04,0.29,0.3
"8","Antofagasta",2101,"Antofagasta",425725,24,0.46,2020-06-11,0.23,0.26
"9","Antofagasta",2102,"Mejillones",14776,17,0.91,2020-04-23,0.76,0.72
"10","Antofagasta",2102,"Mejillones",14776,18,0.98,2020-04-30,0.74,0.71
"11","Antofagasta",2102,"Mejillones",14776,19,0.44,2020-05-07,0.42,0.63
"12","Antofagasta",2102,"Mejillones",14776,20,0.24,2020-05-14,0.37,0.49
"13","Antofagasta",2102,"Mejillones",14776,21,0,2020-05-21,0.38,0.37
"14","Antofagasta",2102,"Mejillones",14776,22,0.22,2020-05-28,0.26,0.29
"15","Antofagasta",2102,"Mejillones",14776,23,0,2020-06-04,0.29,0.3
"16","Antofagasta",2102,"Mejillones",14776,24,0.33,2020-06-11,0.23,0.26
"17","Antofagasta",2103,"Sierra Gorda",1746,17,NA,2020-04-23,0.76,0.72
"18","Antofagasta",2103,"Sierra Gorda",1746,18,NA,2020-04-30,0.74,0.71
"19","Antofagasta",2103,"Sierra Gorda",1746,19,NA,2020-05-07,0.42,0.63
"20","Antofagasta",2103,"Sierra Gorda",1746,20,1,2020-05-14,0.37,0.49
"21","Antofagasta",2103,"Sierra Gorda",1746,21,0,2020-05-21,0.38,0.37
"22","Antofagasta",2103,"Sierra Gorda",1746,22,0,2020-05-28,0.26,0.29
"23","Antofagasta",2103,"Sierra Gorda",1746,23,0,2020-06-04,0.29,0.3
"24","Antofagasta",2103,"Sierra Gorda",1746,24,0.22,2020-06-11,0.23,0.26
"25","Antofagasta",2104,"Taltal",13657,17,NA,2020-04-23,0.76,0.72
"26","Antofagasta",2104,"Taltal",13657,18,0,2020-04-30,0.74,0.71
"27","Antofagasta",2104,"Taltal",13657,19,1,2020-05-07,0.42,0.63
"28","Antofagasta",2104,"Taltal",13657,20,1,2020-05-14,0.37,0.49
"29","Antofagasta",2104,"Taltal",13657,21,0,2020-05-21,0.38,0.37
"30","Antofagasta",2104,"Taltal",13657,22,0.57,2020-05-28,0.26,0.29
"31","Antofagasta",2104,"Taltal",13657,23,NA,2020-06-04,0.29,0.3
"32","Antofagasta",2104,"Taltal",13657,24,0,2020-06-11,0.23,0.26
"33","Antofagasta",2201,"Calama",190336,17,0.74,2020-04-23,0.76,0.72
"34","Antofagasta",2201,"Calama",190336,18,0.54,2020-04-30,0.74,0.71
"35","Antofagasta",2201,"Calama",190336,19,0.08,2020-05-07,0.42,0.63
"36","Antofagasta",2201,"Calama",190336,20,0.31,2020-05-14,0.37,0.49
"37","Antofagasta",2201,"Calama",190336,21,0.17,2020-05-21,0.38,0.37
"38","Antofagasta",2201,"Calama",190336,22,0.03,2020-05-28,0.26,0.29
"39","Antofagasta",2201,"Calama",190336,23,0.02,2020-06-04,0.29,0.3
"40","Antofagasta",2201,"Calama",190336,24,0.09,2020-06-11,0.23,0.26
"41","Antofagasta",2202,"Ollague",287,17,NA,2020-04-23,0.76,0.72
"42","Antofagasta",2202,"Ollague",287,18,NA,2020-04-30,0.74,0.71
"43","Antofagasta",2202,"Ollague",287,19,NA,2020-05-07,0.42,0.63
"44","Antofagasta",2202,"Ollague",287,20,NA,2020-05-14,0.37,0.49
"45","Antofagasta",2202,"Ollague",287,21,NA,2020-05-21,0.38,0.37
"46","Antofagasta",2202,"Ollague",287,22,NA,2020-05-28,0.26,0.29
"47","Antofagasta",2202,"Ollague",287,23,NA,2020-06-04,0.29,0.3
"48","Antofagasta",2202,"Ollague",287,24,1,2020-06-11,0.23,0.26
"49","Antofagasta",2203,"San Pedro de Atacama",10434,17,NA,2020-04-23,0.76,0.72
"50","Antofagasta",2203,"San Pedro de Atacama",10434,18,NA,2020-04-30,0.74,0.71
"51","Antofagasta",2203,"San Pedro de Atacama",10434,19,NA,2020-05-07,0.42,0.63
"52","Antofagasta",2203,"San Pedro de Atacama",10434,20,NA,2020-05-14,0.37,0.49
"53","Antofagasta",2203,"San Pedro de Atacama",10434,21,NA,2020-05-21,0.38,0.37
"54","Antofagasta",2203,"San Pedro de Atacama",10434,22,NA,2020-05-28,0.26,0.29
"55","Antofagasta",2203,"San Pedro de Atacama",10434,23,0,2020-06-04,0.29,0.3
"56","Antofagasta",2203,"San Pedro de Atacama",10434,24,0,2020-06-11,0.23,0.26
"57","Antofagasta",2301,"Tocopilla",28079,17,NA,2020-04-23,0.76,0.72
"58","Antofagasta",2301,"Tocopilla",28079,18,0,2020-04-30,0.74,0.71
"59","Antofagasta",2301,"Tocopilla",28079,19,1,2020-05-07,0.42,0.63
"60","Antofagasta",2301,"Tocopilla",28079,20,0.6,2020-05-14,0.37,0.49
"61","Antofagasta",2301,"Tocopilla",28079,21,0,2020-05-21,0.38,0.37
"62","Antofagasta",2301,"Tocopilla",28079,22,0.5,2020-05-28,0.26,0.29
"63","Antofagasta",2301,"Tocopilla",28079,23,0.67,2020-06-04,0.29,0.3
"64","Antofagasta",2301,"Tocopilla",28079,24,1,2020-06-11,0.23,0.26
"65","Antofagasta",2302,"Maria Elena",6814,17,0.67,2020-04-23,0.76,0.72
"66","Antofagasta",2302,"Maria Elena",6814,18,0.6,2020-04-30,0.74,0.71
"67","Antofagasta",2302,"Maria Elena",6814,19,0,2020-05-07,0.42,0.63
"68","Antofagasta",2302,"Maria Elena",6814,20,0.11,2020-05-14,0.37,0.49
"69","Antofagasta",2302,"Maria Elena",6814,21,0.2,2020-05-21,0.38,0.37
"70","Antofagasta",2302,"Maria Elena",6814,22,0.33,2020-05-28,0.26,0.29
"71","Antofagasta",2302,"Maria Elena",6814,23,0.12,2020-06-04,0.29,0.3
"72","Antofagasta",2302,"Maria Elena",6814,24,0,2020-06-11,0.23,0.26
"73","Araucanía",9101,"Temuco",302931,17,0.62,2020-04-23,0.56,0.72
"74","Araucanía",9101,"Temuco",302931,18,0.2,2020-04-30,0.26,0.71
"75","Araucanía",9101,"Temuco",302931,19,0.74,2020-05-07,0.65,0.63
"76","Araucanía",9101,"Temuco",302931,20,0.8,2020-05-14,0.61,0.49
"77","Araucanía",9101,"Temuco",302931,21,0.68,2020-05-21,0.78,0.37
"78","Araucanía",9101,"Temuco",302931,22,0.33,2020-05-28,0.55,0.29
"79","Araucanía",9101,"Temuco",302931,23,0.82,2020-06-04,0.66,0.3
"80","Araucanía",9101,"Temuco",302931,24,0.71,2020-06-11,0.65,0.26
"81","Araucanía",9102,"Carahue",25486,17,1,2020-04-23,0.56,0.72
"82","Araucanía",9102,"Carahue",25486,18,0,2020-04-30,0.26,0.71
"83","Araucanía",9102,"Carahue",25486,19,0,2020-05-07,0.65,0.63
"84","Araucanía",9102,"Carahue",25486,20,0,2020-05-14,0.61,0.49
"85","Araucanía",9102,"Carahue",25486,21,0.83,2020-05-21,0.78,0.37
"86","Araucanía",9102,"Carahue",25486,22,0.67,2020-05-28,0.55,0.29
"87","Araucanía",9102,"Carahue",25486,23,0.5,2020-06-04,0.66,0.3
"88","Araucanía",9102,"Carahue",25486,24,1,2020-06-11,0.65,0.26
"89","Araucanía",9103,"Cunco",18055,17,NA,2020-04-23,0.56,0.72
"90","Araucanía",9103,"Cunco",18055,18,NA,2020-04-30,0.26,0.71
"91","Araucanía",9103,"Cunco",18055,19,NA,2020-05-07,0.65,0.63
"92","Araucanía",9103,"Cunco",18055,20,1,2020-05-14,0.61,0.49
"93","Araucanía",9103,"Cunco",18055,21,1,2020-05-21,0.78,0.37
"94","Araucanía",9103,"Cunco",18055,22,NA,2020-05-28,0.55,0.29
"95","Araucanía",9103,"Cunco",18055,23,0.88,2020-06-04,0.66,0.3
"96","Araucanía",9103,"Cunco",18055,24,0.75,2020-06-11,0.65,0.26
"97","Araucanía",9104,"Curarrehue",7802,17,NA,2020-04-23,0.56,0.72
"98","Araucanía",9104,"Curarrehue",7802,18,NA,2020-04-30,0.26,0.71
"99","Araucanía",9104,"Curarrehue",7802,19,NA,2020-05-07,0.65,0.63
"100","Araucanía",9104,"Curarrehue",7802,20,NA,2020-05-14,0.61,0.49
"101","Araucanía",9104,"Curarrehue",7802,21,NA,2020-05-21,0.78,0.37
"102","Araucanía",9104,"Curarrehue",7802,22,NA,2020-05-28,0.55,0.29
"103","Araucanía",9104,"Curarrehue",7802,23,NA,2020-06-04,0.66,0.3
"104","Araucanía",9104,"Curarrehue",7802,24,NA,2020-06-11,0.65,0.26
"105","Araucanía",9105,"Freire",25446,17,NA,2020-04-23,0.56,0.72
"106","Araucanía",9105,"Freire",25446,18,NA,2020-04-30,0.26,0.71
"107","Araucanía",9105,"Freire",25446,19,1,2020-05-07,0.65,0.63
"108","Araucanía",9105,"Freire",25446,20,0.71,2020-05-14,0.61,0.49
"109","Araucanía",9105,"Freire",25446,21,0.91,2020-05-21,0.78,0.37
"110","Araucanía",9105,"Freire",25446,22,0.78,2020-05-28,0.55,0.29
"111","Araucanía",9105,"Freire",25446,23,1,2020-06-04,0.66,0.3
"112","Araucanía",9105,"Freire",25446,24,0.4,2020-06-11,0.65,0.26
"113","Araucanía",9106,"Galvarino",12633,17,NA,2020-04-23,0.56,0.72
"114","Araucanía",9106,"Galvarino",12633,18,NA,2020-04-30,0.26,0.71
"115","Araucanía",9106,"Galvarino",12633,19,NA,2020-05-07,0.65,0.63
"116","Araucanía",9106,"Galvarino",12633,20,NA,2020-05-14,0.61,0.49
"117","Araucanía",9106,"Galvarino",12633,21,1,2020-05-21,0.78,0.37
"118","Araucanía",9106,"Galvarino",12633,22,0.67,2020-05-28,0.55,0.29
"119","Araucanía",9106,"Galvarino",12633,23,0.57,2020-06-04,0.66,0.3
"120","Araucanía",9106,"Galvarino",12633,24,0.5,2020-06-11,0.65,0.26
"121","Araucanía",9107,"Gorbea",15148,17,NA,2020-04-23,0.56,0.72
"122","Araucanía",9107,"Gorbea",15148,18,NA,2020-04-30,0.26,0.71
"123","Araucanía",9107,"Gorbea",15148,19,NA,2020-05-07,0.65,0.63
"124","Araucanía",9107,"Gorbea",15148,20,0,2020-05-14,0.61,0.49
"125","Araucanía",9107,"Gorbea",15148,21,1,2020-05-21,0.78,0.37
"126","Araucanía",9107,"Gorbea",15148,22,1,2020-05-28,0.55,0.29
"127","Araucanía",9107,"Gorbea",15148,23,0.4,2020-06-04,0.66,0.3
"128","Araucanía",9107,"Gorbea",15148,24,0.67,2020-06-11,0.65,0.26
"129","Araucanía",9108,"Lautaro",40746,17,0.5,2020-04-23,0.56,0.72
"130","Araucanía",9108,"Lautaro",40746,18,1,2020-04-30,0.26,0.71
"131","Araucanía",9108,"Lautaro",40746,19,0.62,2020-05-07,0.65,0.63
"132","Araucanía",9108,"Lautaro",40746,20,NA,2020-05-14,0.61,0.49
"133","Araucanía",9108,"Lautaro",40746,21,0.8,2020-05-21,0.78,0.37
"134","Araucanía",9108,"Lautaro",40746,22,0.67,2020-05-28,0.55,0.29
"135","Araucanía",9108,"Lautaro",40746,23,0.4,2020-06-04,0.66,0.3
"136","Araucanía",9108,"Lautaro",40746,24,1,2020-06-11,0.65,0.26
"137","Araucanía",9109,"Loncoche",24739,17,0,2020-04-23,0.56,0.72
"138","Araucanía",9109,"Loncoche",24739,18,NA,2020-04-30,0.26,0.71
"139","Araucanía",9109,"Loncoche",24739,19,NA,2020-05-07,0.65,0.63
"140","Araucanía",9109,"Loncoche",24739,20,NA,2020-05-14,0.61,0.49
"141","Araucanía",9109,"Loncoche",24739,21,NA,2020-05-21,0.78,0.37
"142","Araucanía",9109,"Loncoche",24739,22,0.33,2020-05-28,0.55,0.29
"143","Araucanía",9109,"Loncoche",24739,23,NA,2020-06-04,0.66,0.3
"144","Araucanía",9109,"Loncoche",24739,24,NA,2020-06-11,0.65,0.26
"145","Araucanía",9110,"Melipeuco",6265,17,NA,2020-04-23,0.56,0.72
"146","Araucanía",9110,"Melipeuco",6265,18,NA,2020-04-30,0.26,0.71
"147","Araucanía",9110,"Melipeuco",6265,19,NA,2020-05-07,0.65,0.63
"148","Araucanía",9110,"Melipeuco",6265,20,NA,2020-05-14,0.61,0.49
"149","Araucanía",9110,"Melipeuco",6265,21,1,2020-05-21,0.78,0.37
"150","Araucanía",9110,"Melipeuco",6265,22,NA,2020-05-28,0.55,0.29
"151","Araucanía",9110,"Melipeuco",6265,23,NA,2020-06-04,0.66,0.3
"152","Araucanía",9110,"Melipeuco",6265,24,NA,2020-06-11,0.65,0.26
"153","Araucanía",9111,"Nueva Imperial",33777,17,0.25,2020-04-23,0.56,0.72
"154","Araucanía",9111,"Nueva Imperial",33777,18,NA,2020-04-30,0.26,0.71
"155","Araucanía",9111,"Nueva Imperial",33777,19,1,2020-05-07,0.65,0.63
"156","Araucanía",9111,"Nueva Imperial",33777,20,NA,2020-05-14,0.61,0.49
"157","Araucanía",9111,"Nueva Imperial",33777,21,1,2020-05-21,0.78,0.37
"158","Araucanía",9111,"Nueva Imperial",33777,22,-1,2020-05-28,0.55,0.29
"159","Araucanía",9111,"Nueva Imperial",33777,23,1,2020-06-04,0.66,0.3
"160","Araucanía",9111,"Nueva Imperial",33777,24,1,2020-06-11,0.65,0.26
"161","Araucanía",9112,"Padre Las Casas",82110,17,0.56,2020-04-23,0.56,0.72
"162","Araucanía",9112,"Padre Las Casas",82110,18,0,2020-04-30,0.26,0.71
"163","Araucanía",9112,"Padre Las Casas",82110,19,0,2020-05-07,0.65,0.63
"164","Araucanía",9112,"Padre Las Casas",82110,20,0.75,2020-05-14,0.61,0.49
"165","Araucanía",9112,"Padre Las Casas",82110,21,0.62,2020-05-21,0.78,0.37
"166","Araucanía",9112,"Padre Las Casas",82110,22,0.45,2020-05-28,0.55,0.29
"167","Araucanía",9112,"Padre Las Casas",82110,23,0,2020-06-04,0.66,0.3
"168","Araucanía",9112,"Padre Las Casas",82110,24,0,2020-06-11,0.65,0.26
"169","Araucanía",9113,"Perquenco",7223,17,NA,2020-04-23,0.56,0.72
"170","Araucanía",9113,"Perquenco",7223,18,NA,2020-04-30,0.26,0.71
"171","Araucanía",9113,"Perquenco",7223,19,NA,2020-05-07,0.65,0.63
"172","Araucanía",9113,"Perquenco",7223,20,NA,2020-05-14,0.61,0.49
"173","Araucanía",9113,"Perquenco",7223,21,NA,2020-05-21,0.78,0.37
"174","Araucanía",9113,"Perquenco",7223,22,NA,2020-05-28,0.55,0.29
"175","Araucanía",9113,"Perquenco",7223,23,NA,2020-06-04,0.66,0.3
"176","Araucanía",9113,"Perquenco",7223,24,NA,2020-06-11,0.65,0.26
"177","Araucanía",9114,"Pitrufquen",26096,17,NA,2020-04-23,0.56,0.72
"178","Araucanía",9114,"Pitrufquen",26096,18,NA,2020-04-30,0.26,0.71
"179","Araucanía",9114,"Pitrufquen",26096,19,NA,2020-05-07,0.65,0.63
"180","Araucanía",9114,"Pitrufquen",26096,20,1,2020-05-14,0.61,0.49
"181","Araucanía",9114,"Pitrufquen",26096,21,0.62,2020-05-21,0.78,0.37
"182","Araucanía",9114,"Pitrufquen",26096,22,0.67,2020-05-28,0.55,0.29
"183","Araucanía",9114,"Pitrufquen",26096,23,0.6,2020-06-04,0.66,0.3
"184","Araucanía",9114,"Pitrufquen",26096,24,0.5,2020-06-11,0.65,0.26
"185","Araucanía",9115,"Pucon",29782,17,0.5,2020-04-23,0.56,0.72
"186","Araucanía",9115,"Pucon",29782,18,NA,2020-04-30,0.26,0.71
"187","Araucanía",9115,"Pucon",29782,19,NA,2020-05-07,0.65,0.63
"188","Araucanía",9115,"Pucon",29782,20,1,2020-05-14,0.61,0.49
"189","Araucanía",9115,"Pucon",29782,21,0.8,2020-05-21,0.78,0.37
"190","Araucanía",9115,"Pucon",29782,22,0.89,2020-05-28,0.55,0.29
"191","Araucanía",9115,"Pucon",29782,23,0.5,2020-06-04,0.66,0.3
"192","Araucanía",9115,"Pucon",29782,24,0.6,2020-06-11,0.65,0.26
"193","Araucanía",9116,"Saavedra",12793,17,1,2020-04-23,0.56,0.72
"194","Araucanía",9116,"Saavedra",12793,18,0.22,2020-04-30,0.26,0.71
"195","Araucanía",9116,"Saavedra",12793,19,0.6,2020-05-07,0.65,0.63
"196","Araucanía",9116,"Saavedra",12793,20,0.57,2020-05-14,0.61,0.49
"197","Araucanía",9116,"Saavedra",12793,21,1,2020-05-21,0.78,0.37
"198","Araucanía",9116,"Saavedra",12793,22,1,2020-05-28,0.55,0.29
"199","Araucanía",9116,"Saavedra",12793,23,1,2020-06-04,0.66,0.3
"200","Araucanía",9116,"Saavedra",12793,24,1,2020-06-11,0.65,0.26
"201","Araucanía",9117,"Teodoro Schmidt",15786,17,NA,2020-04-23,0.56,0.72
"202","Araucanía",9117,"Teodoro Schmidt",15786,18,NA,2020-04-30,0.26,0.71
"203","Araucanía",9117,"Teodoro Schmidt",15786,19,NA,2020-05-07,0.65,0.63
"204","Araucanía",9117,"Teodoro Schmidt",15786,20,NA,2020-05-14,0.61,0.49
"205","Araucanía",9117,"Teodoro Schmidt",15786,21,NA,2020-05-21,0.78,0.37
"206","Araucanía",9117,"Teodoro Schmidt",15786,22,0,2020-05-28,0.55,0.29
"207","Araucanía",9117,"Teodoro Schmidt",15786,23,NA,2020-06-04,0.66,0.3
"208","Araucanía",9117,"Teodoro Schmidt",15786,24,1,2020-06-11,0.65,0.26
"209","Araucanía",9118,"Tolten",10055,17,NA,2020-04-23,0.56,0.72
"210","Araucanía",9118,"Tolten",10055,18,NA,2020-04-30,0.26,0.71
"211","Araucanía",9118,"Tolten",10055,19,NA,2020-05-07,0.65,0.63
"212","Araucanía",9118,"Tolten",10055,20,NA,2020-05-14,0.61,0.49
"213","Araucanía",9118,"Tolten",10055,21,0.67,2020-05-21,0.78,0.37
"214","Araucanía",9118,"Tolten",10055,22,1,2020-05-28,0.55,0.29
"215","Araucanía",9118,"Tolten",10055,23,NA,2020-06-04,0.66,0.3
"216","Araucanía",9118,"Tolten",10055,24,NA,2020-06-11,0.65,0.26
"217","Araucanía",9119,"Vilcun",30766,17,NA,2020-04-23,0.56,0.72
"218","Araucanía",9119,"Vilcun",30766,18,0,2020-04-30,0.26,0.71
"219","Araucanía",9119,"Vilcun",30766,19,0,2020-05-07,0.65,0.63
"220","Araucanía",9119,"Vilcun",30766,20,-0.5,2020-05-14,0.61,0.49
"221","Araucanía",9119,"Vilcun",30766,21,0.86,2020-05-21,0.78,0.37
"222","Araucanía",9119,"Vilcun",30766,22,0.38,2020-05-28,0.55,0.29
"223","Araucanía",9119,"Vilcun",30766,23,0.75,2020-06-04,0.66,0.3
"224","Araucanía",9119,"Vilcun",30766,24,0.5,2020-06-11,0.65,0.26
