"","region","codigo_comuna","comuna","poblacion","semana","new_cases_sint","new_cases","dia","oportunidad_comuna","2"
"1","Antofagasta",2101,"Antofagasta",425725,17,30,42,2020-04-23,0.71,2
"2","Antofagasta",2101,"Antofagasta",425725,18,67,101,2020-04-30,0.66,2
"3","Antofagasta",2101,"Antofagasta",425725,19,27,57,2020-05-07,0.47,2
"4","Antofagasta",2101,"Antofagasta",425725,20,67,155,2020-05-14,0.43,2
"5","Antofagasta",2101,"Antofagasta",425725,21,55,103,2020-05-21,0.53,2
"6","Antofagasta",2101,"Antofagasta",425725,22,54,155,2020-05-28,0.35,2
"7","Antofagasta",2101,"Antofagasta",425725,23,86,166,2020-06-04,0.52,2
"8","Antofagasta",2101,"Antofagasta",425725,24,108,233,2020-06-11,0.46,2
"9","Antofagasta",2102,"Mejillones",14776,17,20,22,2020-04-23,0.91,2
"10","Antofagasta",2102,"Mejillones",14776,18,48,49,2020-04-30,0.98,2
"11","Antofagasta",2102,"Mejillones",14776,19,7,16,2020-05-07,0.44,2
"12","Antofagasta",2102,"Mejillones",14776,20,4,17,2020-05-14,0.24,2
"13","Antofagasta",2102,"Mejillones",14776,21,0,1,2020-05-21,0,2
"14","Antofagasta",2102,"Mejillones",14776,22,4,18,2020-05-28,0.22,2
"15","Antofagasta",2102,"Mejillones",14776,23,0,6,2020-06-04,0,2
"16","Antofagasta",2102,"Mejillones",14776,24,2,6,2020-06-11,0.33,2
"17","Antofagasta",2103,"Sierra Gorda",1746,17,0,0,2020-04-23,NA,2
"18","Antofagasta",2103,"Sierra Gorda",1746,18,0,0,2020-04-30,NA,2
"19","Antofagasta",2103,"Sierra Gorda",1746,19,0,0,2020-05-07,NA,2
"20","Antofagasta",2103,"Sierra Gorda",1746,20,2,2,2020-05-14,1,2
"21","Antofagasta",2103,"Sierra Gorda",1746,21,0,2,2020-05-21,0,2
"22","Antofagasta",2103,"Sierra Gorda",1746,22,0,1,2020-05-28,0,2
"23","Antofagasta",2103,"Sierra Gorda",1746,23,0,5,2020-06-04,0,2
"24","Antofagasta",2103,"Sierra Gorda",1746,24,2,9,2020-06-11,0.22,2
"25","Antofagasta",2104,"Taltal",13657,17,0,0,2020-04-23,NA,2
"26","Antofagasta",2104,"Taltal",13657,18,0,1,2020-04-30,0,2
"27","Antofagasta",2104,"Taltal",13657,19,1,1,2020-05-07,1,2
"28","Antofagasta",2104,"Taltal",13657,20,1,1,2020-05-14,1,2
"29","Antofagasta",2104,"Taltal",13657,21,0,2,2020-05-21,0,2
"30","Antofagasta",2104,"Taltal",13657,22,4,7,2020-05-28,0.57,2
"31","Antofagasta",2104,"Taltal",13657,23,0,0,2020-06-04,NA,2
"32","Antofagasta",2104,"Taltal",13657,24,0,1,2020-06-11,0,2
"33","Antofagasta",2201,"Calama",190336,17,14,19,2020-04-23,0.74,2
"34","Antofagasta",2201,"Calama",190336,18,7,13,2020-04-30,0.54,2
"35","Antofagasta",2201,"Calama",190336,19,1,12,2020-05-07,0.08,2
"36","Antofagasta",2201,"Calama",190336,20,14,45,2020-05-14,0.31,2
"37","Antofagasta",2201,"Calama",190336,21,8,48,2020-05-21,0.17,2
"38","Antofagasta",2201,"Calama",190336,22,2,71,2020-05-28,0.03,2
"39","Antofagasta",2201,"Calama",190336,23,3,130,2020-06-04,0.02,2
"40","Antofagasta",2201,"Calama",190336,24,36,394,2020-06-11,0.09,2
