"","dayweek","semana","region","dia","new_cases_sint_region","new_cases_region","oportunidad_region"
"1",1,17,"Antofagasta",2020-04-23,68,89,0.76
"2",1,17,"Araucanía",2020-04-23,32,57,0.56
"3",1,17,"Arica y Parinacota",2020-04-23,34,46,0.74
"4",1,17,"Atacama",2020-04-23,4,8,0.5
"5",1,17,"Aysén",2020-04-23,0,0,NA
"6",1,17,"Biobío",2020-04-23,13,17,0.76
"7",1,17,"Coquimbo",2020-04-23,3,3,1
"8",1,17,"Los Lagos",2020-04-23,8,9,0.89
"9",1,17,"Los Ríos",2020-04-23,3,5,0.6
"10",1,17,"Magallanes",2020-04-23,21,45,0.47
"11",1,17,"Maule",2020-04-23,9,16,0.56
"12",1,17,"Metropolitana",2020-04-23,821,1121,0.73
"13",1,17,"Ñuble",2020-04-23,9,16,0.56
"14",1,17,"O’Higgins",2020-04-23,11,11,1
"15",1,17,"Tarapacá",2020-04-23,20,33,0.61
"16",1,17,"Valparaíso",2020-04-23,18,26,0.69
"17",1,18,"Antofagasta",2020-04-30,125,170,0.74
"18",1,18,"Araucanía",2020-04-30,9,35,0.26
"19",1,18,"Arica y Parinacota",2020-04-30,11,13,0.85
"20",1,18,"Atacama",2020-04-30,22,27,0.81
"21",1,18,"Aysén",2020-04-30,0,0,NA
"22",1,18,"Biobío",2020-04-30,25,39,0.64
"23",1,18,"Coquimbo",2020-04-30,14,16,0.88
"24",1,18,"Los Lagos",2020-04-30,18,26,0.69
"25",1,18,"Los Ríos",2020-04-30,5,20,0.25
"26",1,18,"Magallanes",2020-04-30,40,60,0.67
"27",1,18,"Maule",2020-04-30,2,5,0.4
"28",1,18,"Metropolitana",2020-04-30,2136,2982,0.72
"29",1,18,"Ñuble",2020-04-30,15,21,0.71
"30",1,18,"O’Higgins",2020-04-30,14,19,0.74
"31",1,18,"Tarapacá",2020-04-30,70,87,0.8
"32",1,18,"Valparaíso",2020-04-30,31,59,0.53
"33",1,19,"Antofagasta",2020-05-07,37,89,0.42
"34",1,19,"Araucanía",2020-05-07,41,63,0.65
"35",1,19,"Arica y Parinacota",2020-05-07,18,25,0.72
"36",1,19,"Atacama",2020-05-07,33,45,0.73
"37",1,19,"Aysén",2020-05-07,0,0,NA
"38",1,19,"Biobío",2020-05-07,78,92,0.85
"39",1,19,"Coquimbo",2020-05-07,15,25,0.6
"40",1,19,"Los Lagos",2020-05-07,33,44,0.75
"41",1,19,"Los Ríos",2020-05-07,3,4,0.75
"42",1,19,"Magallanes",2020-05-07,24,34,0.71
