"","comuna","region","codigo_comuna","oportunidad_comuna","oportunidad_region","oportunidad_pais","semana","dia"
"1","Antofagasta","Antofagasta",2101,NA,NA,NA,16,2020-04-15
"2","Calama","Antofagasta",2201,NA,NA,NA,16,2020-04-15
"3","Maria Elena","Antofagasta",2302,NA,NA,NA,16,2020-04-15
"4","Mejillones","Antofagasta",2102,NA,NA,NA,16,2020-04-15
"5","Ollague","Antofagasta",2202,NA,NA,NA,16,2020-04-15
"6","San Pedro de Atacama","Antofagasta",2203,NA,NA,NA,16,2020-04-15
"7","Sierra Gorda","Antofagasta",2103,NA,NA,NA,16,2020-04-15
"8","Taltal","Antofagasta",2104,NA,NA,NA,16,2020-04-15
"9","Tocopilla","Antofagasta",2301,NA,NA,NA,16,2020-04-15
"10","Angol","Araucanía",9201,NA,NA,NA,16,2020-04-15
"11","Carahue","Araucanía",9102,NA,NA,NA,16,2020-04-15
"12","Cholchol","Araucanía",9121,NA,NA,NA,16,2020-04-15
"13","Collipulli","Araucanía",9202,NA,NA,NA,16,2020-04-15
"14","Cunco","Araucanía",9103,NA,NA,NA,16,2020-04-15
"15","Curacautin","Araucanía",9203,NA,NA,NA,16,2020-04-15
"16","Curarrehue","Araucanía",9104,NA,NA,NA,16,2020-04-15
"17","Ercilla","Araucanía",9204,NA,NA,NA,16,2020-04-15
"18","Freire","Araucanía",9105,NA,NA,NA,16,2020-04-15
"19","Galvarino","Araucanía",9106,NA,NA,NA,16,2020-04-15
"20","Gorbea","Araucanía",9107,NA,NA,NA,16,2020-04-15
"21","Lautaro","Araucanía",9108,NA,NA,NA,16,2020-04-15
"22","Loncoche","Araucanía",9109,NA,NA,NA,16,2020-04-15
"23","Lonquimay","Araucanía",9205,NA,NA,NA,16,2020-04-15
"24","Los Sauces","Araucanía",9206,NA,NA,NA,16,2020-04-15
"25","Lumaco","Araucanía",9207,NA,NA,NA,16,2020-04-15
"26","Melipeuco","Araucanía",9110,NA,NA,NA,16,2020-04-15
"27","Nueva Imperial","Araucanía",9111,NA,NA,NA,16,2020-04-15
"28","Padre Las Casas","Araucanía",9112,NA,NA,NA,16,2020-04-15
"29","Perquenco","Araucanía",9113,NA,NA,NA,16,2020-04-15
