"","comuna","region","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","NA"
"1","Antofagasta","Antofagasta",7.73925601924456,7.39005448611018,8.63601203086354,7.79551257910606,8.08175230611894,6.69463797806943,9.18088386297692,6.88856910693924,8.1482850358392,7.88804954338341,7.82616342484763,7.85835561596236,6.94425636696215,8.15867369397944,6.4818464794998,7.26504690801884,6.80377360757893,7.87487493577508,7.81726386521242,7.06254791452255,5.61286528866714,7.43419607333944,8.24409256155377,7.19016596835211,7.83546757970891,8.10238289736446,7.46230412584604,7.49754794602956,8.13902796152893,7.82989257225317,6.28315359339456,7.91308578168572,6.12396925685164,7.9861688350562,7.98635048165266,7.85094140572545,8.34563512101992,7.38321071969995,6.89416002554414,8.11193888434794,8.58419741383899,6.47768109793845,7.84107172137065,7.50308402433879,7.6280430158375,8.25515406636688,5.85481637631852,7.8148215467972,8.3802824721118,8.42367005474469,8.10673473892322,7.67629017894177,6.78924505976442,6.46434384408195,8.44752725946851,6.8982365837092,7.70877822711691,8.60330401883485,7.15527267220134,7.48059833331727,6.3628203449082,7.06316314071571,7.94946504549532,7.45377533916603,6.3435381654059,7.44673833057435,7.85544575959941,7.59170907801433,8.43064452658115,7.73247040347219,8.65053792555077,7.75014928920202,8.63750011930415,8.57707059473727,8.81734318233636,6.7741292695444,7.73402753750936,7.75995429222529,7.85487684051248,7.35273557743628,7.55213762643587,8.09459415599597,8.99090858815241,6.88240081137685,8.95431107226493,7.68715337531126,7.72679627658644,7.79179720183269,6.59187677976681,8.06826831477061,8.82089206901805,7.53472096271446,6.58262677957081,6.56937996043643,7.83258307861939,8.14271426855621,8.12981788457354,6.80152360004357,9.19778315398679,7.53833016240449,8.42584935875215,7.15036890392538,7.97222313085115,8.47068897311509,8.43640881637975,7.04623982790222,8.20957892830636,7.23997114825744,8.19061027903807,7.63225247797124,8.04356300478865,7.39514804846494,8.3719092179984,7.08711146428268,7.05604846862856,7.64268571736518,7.49335603169613,8.2316839837281,8.03483917221714,6.38308565564896,7.81274911064673,8.59774086178087,7.48437728506754,7.86013595356127,7.99080793046036,8.93346588642415,8.67435864817262,6.42446398441198,8.38188609359903,8.19384206311078,6.5666788988236,8.40149295971966,5.95715417819043,6.94642738048084,6.1457334973145,7.99011088266714,8.28117422510992,7.70385579047026,6.71641313231771,7.86573916631594,7.38988402182561,6.83344423972704,6.7721183755188,7.63696836052397,7.88126135491429,7.21030295616848,7.05820484277312,8.64817283534952,6.77810388393591,6.5516012845685,7.87511659609091,7.78592752316369,8.34077534663895,8.39168820499743,8.12525598717273,7.67559188906813,6.18769033056449,7.27054154213454,7.1209630623476,7.94007698413792,7.01154865077034,8.1196748696373,7.83763728909068,8.31244185366994,8.01740302907117,5.55412587412587,6.61671947246742,8.34292674152806,7.83924931215254,7.97888157460042,7.22805961203958,6.34337379622346,7.03231236339986,7.91393001030978,8.24236416832336,8.51497178340118,6.23340173489722,6.76288361426499,6.66295412466594,6.76197926434471,7.60662132530183,7.81220582990846,6.59331939346088,7.18176224047571,8.06091710663722,7.55756049947055,7.40447039611799,8.82199488920875,6.26601199253567,6.64524916369695,7.58085174971105,7.91090912396996,8.22163125731379,7.98477595537702,8.34982159095937,6.4184052604342,7.43655918678096,7.29890376586724,7.37150261204832,7.07135031622577,NA
"2","Calama","Antofagasta",9.76584757834758,9.76014288400075,8.09628030793582,13.3640531607471,11.0294686070582,9.0879413344073,6.89722222222222,9.05796803887349,7.9600524716929,10.2337009723745,8.99131415679639,10.2087613918807,8.90392595278382,7.30945317044793,11.6039830503707,8.02054973821989,9.49234461001477,10.9769468186135,8.9968291699171,9.70654969704266,8.89523362816046,9.88123340615696,11.2010935143288,13.0282051282051,11.0292192975821,9.43999418266434,8.40648148148148,9.98840876769621,8.26940214326001,12.3020496582507,11.2190428382533,9.75277777777778,9.54940087145969,8.36221770551038,11.5663625501375,9.07271573604061,11.5532817109145,8.78558201058202,10.6166045291356,9.0701520858393,8.27780291603821,11.3566573796003,10.9107586012408,12.6599170437406,10.3344685864915,9.55771604938271,8.7818414958687,9.6761605974123,11.6760270465141,8.26282679738562,9.45481029810298,8.80983267531491,9.66166492332044,11.4478621291449,8.78915551017321,9.76580237679715,12.3894790637848,12.1308574959471,12.9748715804541,10.2713675213675,9.27944620600637,8.40218253968254,9.50740740740741,9.47139526542324,12.4772852803093,9.25234741784038,11.7166666666667,8.65732916014606,9.75698005698005,9.9247150997151,9.66245483288166,10.6300669872896,12.4687089312189,9.07516850575625,8.90722952663477,7.25,8.80269607843137,11.0879961516087,8.57731239092496,9.1526845293091,10.6132516063391,11.6868593898625,9.10049032608731,8.07791327913279,11.9684544589474,9.85994622716693,11.0383263126655,8.37503561253561,10.2560432224797,11.4277797033767,9.2973154223928,10.4406769293406,11.0864039124696,11.6123119790244,10.5230158730159,6.86568627450981,8.92935250829703,12.0561897409119,8.36614923747277,8.7098233428104,7.99647696476965,8.91267186240377,12.3530797839931,7.49281484167271,11.5347902775913,9.59025923231236,8.36548961767598,8.38809716369415,10.1169042936742,9.19901960784313,11.0130039331367,10.0349885283514,10.7275189354458,9.53240740740741,10.2625513200233,11.5802030456853,10.5136330986591,9.51763468550916,9.88385204576304,9.81335620730714,7.84792160312528,12.122223325184,9.17680955066742,11.1627638710626,12.031002530158,9.32056688735434,11.6676427052633,10.29302065114,9.60714258370275,10.6459014852416,8.40406494238981,10.9773938911238,9.71225432773656,11.1759615384615,8.81391402714932,10.0765455229899,9.15364949701233,11.3376514232664,9.90817110340928,11.2477679008815,7.90969830684671,12.6819349983645,10.2987037744991,8.64910726271983,9.02423345382027,9.91063098991844,10.2763302034429,10.4983337621739,10.604415954416,9.65520304568528,8.17884615384615,8.6217146789009,10.0767143223667,11.144488759971,8.50015015870477,11.2804321411759,8.21150034812289,9.03229850306024,10.6956215837186,8.90138646499903,11.8294420123688,9.97186971235195,8.32780291603821,10.4812226391495,11.0648625498618,12.9946110784669,9.2467568353694,7.97604158985326,11.4710115779168,8.87147696476965,8.33403141361257,10.3912037037037,12.09354830046,8.12737556561086,9.50137517804995,8.57667440960124,11.1751370666651,10.0988603988604,10.3766240920066,8.22222222222222,7.37957516339869,9.4396490992507,10.7721879148581,11.765323397546,10.3594036769329,10.2518806055981,11.4976847814704,9.62013041815203,10.1082010582011,10.6710466048322,11.196741970275,10.3560490693739,9.08884372177055,9.75686392335685,12.0876560612163,8.38101851851852,12.4680355831418,9.07136891793754,9.91662436548224,10.3208455347982,NA
"3","Maria Elena","Antofagasta",9.62916666666667,8.62571428571428,6.4,10.4595238095238,10.0208333333333,7.6,4.15770308123249,8.90833333333333,8.20833333333333,9.66666666666667,8.45710784313726,10.4,9.64761904761905,14.1916666666667,7.075,8.88821428571428,9.6375,8.12500000000001,10.1666666666667,7.45,12.7916666666667,6.35,10.3279411764706,9.54044117647059,11.1916666666667,10.3125,6.7,2.575,6.86666666666667,9,11.275,11.3666666666667,9.78333333333333,11.0625,7.65952380952381,11.275,6.66666666666667,10.5416666666667,10.5761904761905,6.66666666666667,8.41666666666667,8.9,6.76960784313726,3.9,9.7,9,10.75,9.64166666666667,9.7,7.91666666666667,6.875,9.08333333333333,6.65294117647059,10.225,12.3261904761905,6.725,8.95416666666667,8.34579831932773,11.45,8.50000000000001,4.33333333333333,9,9.025,10.075,11.9166666666667,6.60833333333333,10.6333333333333,6.21960784313726,10.75,9.00000000000001,9.86127450980392,10.1666666666667,7.65833333333333,8.475,10.8916666666667,8.88821428571428,10.0362745098039,9.9,8.72794117647059,8.5625,4.56666666666667,10.375,11.3666666666667,9.7,9.46666666666667,9.13333333333334,3.85294117647059,11.625,9.175,5.325,10.3666666666667,10.5041666666667,9.975,9.98095238095238,9.93333333333333,7.91666666666667,8.70833333333333,9.58333333333334,4.33333333333333,5.31127450980392,8.3,6.36666666666666,8.4625,9.875,9.61666666666667,10.6666666666667,6.66666666666667,12.9375,5.95294117647059,9.87500000000001,11.2916666666667,8.94166666666667,7.08214285714285,11.0583333333333,7.625,9.58333333333333,9.71428571428571,10.75,10.4416666666667,9.175,11.4416666666667,10.9987745098039,6.86785714285714,10.575,9.5,9.46666666666667,10.75,7.35294117647059,10.1666666666667,10.95,7.54166666666667,7.15,9.43750000000001,11.5785714285714,9.875,10.5238095238095,5.71392857142857,7.51666666666667,9,5.5,8.41666666666667,8.06666666666667,8.11127450980392,7.26127450980392,6.60416666666667,8.125,6.38627450980392,8.41666666666667,3.16666666666667,10.3125,8.70833333333333,12.5,11.3333333333333,8.86428571428571,11.5559523809524,7.14460784313725,8.20833333333333,8.24166666666667,10.4583333333333,12.7119047619048,5.55833333333333,5.6,9.16666666666667,11.5375,10.65,10.1041666666667,8.80833333333333,8.9375,9.05,11.0875,9.3375,8.20833333333334,5.75833333333333,9.85,8.45,10.9833333333333,10.5416666666667,9.2047268907563,8.3,11.3440476190476,12.3541666666667,5.5,7.02380952380953,9.81250000000001,5.5,8.70833333333333,6.21960784313726,10.8958333333333,7.675,6.65833333333333,5.5,9.6,10.3862745098039,8.55294117647059,10.25,9.29166666666666,6.86666666666667,10.075,9.89166666666667,9.875,NA
"4","Mejillones","Antofagasta",8.60404040404041,10.1507352941176,6.42647058823529,10.0809194890077,6.78598484848485,8.36911764705882,8.00568181818182,8.6375,8.43088235294118,7.25,5.8209595959596,8.39743018419489,8.10290404040404,6.89906417112299,7.91540404040404,8.07859848484849,9.47017973856209,8.05858585858586,8.4280303030303,8.56813725490196,11.0611111111111,7.15719696969697,8.44318181818182,5.19318181818182,10.2914438502674,7.28977272727273,9.79493464052288,8.95138888888889,5.89318181818182,6.05753968253969,11.2140151515152,9.73795306001189,5.68008870214752,8.74621848739496,7.56875,6.10984848484849,6.10984848484849,9.29166666666666,9.49174836601307,11.9166666666667,7.01136363636364,9.52406417112299,10.6553773024361,8.14930555555556,11.2847222222222,12.6572712418301,9.39166666666667,10.290404040404,9.96624331550802,8.03921568627451,10.7897727272727,10.8958333333333,5.91818181818182,8.4389705882353,10.0236111111111,4.56897759103641,7.52879901960784,6.60474598930481,6.00892857142857,8.97348484848485,8.55637254901961,9.34906417112299,10.5757575757576,8.03921568627451,7.27430555555556,9.18378639334522,5.57142857142857,9.20588235294118,9.23676470588235,10.63125,7.80192577030812,9.19886363636363,5.86309523809524,8.31573083778966,9.60984848484849,8.46813725490196,10.1666666666667,10.718545751634,9.975,6.69791666666667,8.22222222222222,11.40625,8.26818181818182,12.6000816993464,5.20568181818182,11.2160947712418,10.7406417112299,4.79734848484849,10.224064171123,11.1617647058824,10.1666666666667,8.77401960784314,7.9889705882353,6.66875,10.4008838383838,8.40340909090909,9.36666666666667,7.46875,6.58088235294118,8.53333333333333,9,8.61397058823529,11.6764705882353,8.58823529411764,10.8958333333333,7.57598039215686,8.83207070707071,6.18333333333333,9.27215785304021,7.78693181818182,9.66131907308378,10.2399732620321,5.38068181818182,7.44179292929293,13.8611111111111,10.6445123503947,8.24652777777778,12.0598262032086,9.73574346405229,8.03063725490196,8.62540849673203,8.22222222222222,7.133541295306,8.61111111111111,6.65231092436975,10.0351307189542,12.2254901960784,6.99258870214752,8.3483893557423,7.27430555555556,7.33713235294118,6.52647058823529,6.58088235294118,10.3692810457516,7.26143790849673,10.8666666666667,8.16875,6.53299274255157,9.97222222222222,8.64485294117647,9.31818181818182,8.85416666666667,10.4411764705882,9.92361111111111,7.12698412698413,6.93181818181818,10.0136846405229,10.8100490196078,7.49963235294118,6.96813725490196,8.17647058823529,8.49881164587047,10.3897058823529,8.37000254647313,4.38961038961039,11.3333333333333,7.42234848484849,6.46629901960784,8.34375,8.16875,10.4352941176471,8.75715240641711,12.5,8.52696078431372,10.3125,7.84698083778966,6.95833333333333,6.65231092436975,6.82888711039972,7.03125,8.23651960784314,6.96969696969697,8.24242424242424,9.33006535947713,11.7920380273321,11.0477941176471,9.52757352941177,7.25,8.10290404040404,8.54742275698158,11.0588235294118,9.22381907308378,5.77731092436975,10.53125,8.56060606060606,8.75980392156863,11.093137254902,6.1831550802139,10.5484848484848,9.36764705882353,9.4375,5.79779411764706,9.31662210338681,8.85200534759358,9.7920751633987,7.48018790849673,11.1611111111111,9.53758169934641,7.60972222222222,8.97348484848485,NA
"5","Ollague","Antofagasta",21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,NA
"6","San Pedro de Atacama","Antofagasta",14.25,12.5,9.29166666666667,9.29166666666667,12.5,14.25,12.5,12.5,14.25,13.6666666666667,12.2083333333333,14.25,12.5,14.25,14.25,15.4166666666667,14.25,14.25,9.29166666666667,9.29166666666667,9.29166666666667,9.29166666666667,11.0416666666667,12.5,9.29166666666667,12.5,13.6666666666667,10.4583333333333,12.5,12.2083333333333,9.29166666666667,14.25,11.0416666666667,9.29166666666667,12.5,11.0416666666667,9.29166666666667,14.25,9.29166666666667,11.0416666666667,14.25,14.25,14.25,9.29166666666667,9.29166666666667,11.0416666666667,11.0416666666667,13.6666666666667,10.4583333333333,12.5,14.25,11.0416666666667,12.5,11.0416666666667,14.25,11.0416666666667,11.0416666666667,12.2083333333333,9.29166666666667,12.5,12.5,13.6666666666667,11.0416666666667,14.25,9.29166666666667,12.5,14.25,9.29166666666667,11.0416666666667,11.0416666666667,14.25,9.29166666666667,11.0416666666667,12.5,12.5,14.25,12.5,11.0416666666667,9.29166666666667,15.4166666666667,11.0416666666667,13.6666666666667,14.25,12.5,9.29166666666667,12.5,9.29166666666667,9.29166666666667,15.4166666666667,11.0416666666667,10.4583333333333,9.29166666666667,11.0416666666667,9.29166666666667,13.6666666666667,12.5,11.0416666666667,11.0416666666667,9.29166666666667,11.0416666666667,14.25,13.6666666666667,9.29166666666667,9.29166666666667,10.4583333333333,12.5,9.29166666666667,11.0416666666667,11.0416666666667,14.25,14.25,12.5,14.25,11.0416666666667,9.29166666666667,11.0416666666667,9.29166666666667,14.25,13.6666666666667,10.4583333333333,9.29166666666667,14.25,11.0416666666667,11.0416666666667,14.25,12.2083333333333,12.5,14.25,14.25,12.5,11.0416666666667,14.25,14.25,14.25,12.5,14.25,12.5,12.2083333333333,11.0416666666667,14.25,11.0416666666667,12.5,12.5,9.29166666666667,12.5,10.4583333333333,13.6666666666667,13.6666666666667,11.0416666666667,10.4583333333333,13.6666666666667,14.25,9.29166666666667,11.0416666666667,9.29166666666667,11.0416666666667,11.0416666666667,9.29166666666667,12.5,12.5,9.29166666666667,11.0416666666667,9.29166666666667,15.4166666666667,12.5,12.5,11.0416666666667,9.29166666666667,11.0416666666667,14.25,14.25,12.2083333333333,11.0416666666667,14.25,11.0416666666667,12.5,13.6666666666667,14.25,12.5,11.0416666666667,10.4583333333333,12.5,9.29166666666667,10.4583333333333,13.6666666666667,11.0416666666667,14.25,9.29166666666667,11.0416666666667,12.5,12.5,11.0416666666667,12.5,15.4166666666667,11.0416666666667,14.25,14.25,12.5,12.5,15.4166666666667,NA
"7","Sierra Gorda","Antofagasta",10.75,6.2,9.7,5.57777777777778,11.0222222222222,9.7,9,9.97222222222222,5.5,12.5,12.5,12.5,12.5,9,11.7222222222222,10.75,11.7222222222222,11.8,11.0222222222222,14.25,6.55,14.25,13.2777777777778,14.25,9,11.7222222222222,13.2777777777778,9.97222222222222,11.45,9,14.25,9,6.2,12.5,8.3,12.5,9,14.25,10.75,9.07777777777778,10.05,12.5,12.5,8.3,9.7,9.77777777777778,10.4777777777778,10.4777777777778,9,9.77777777777778,9.7,12.5,5.5,12.5,9,12.5,11.8,11.5277777777778,11.8,10.75,12.5,10.4777777777778,10.75,11.7222222222222,12.5,11.7222222222222,6.2,12.5,11.7222222222222,12.5,10.05,9,10.75,11.5277777777778,10.8277777777778,9.7,11.8,14.25,9.97222222222222,8.22222222222222,9.97222222222222,10.75,12.5,11.7222222222222,14.25,8.22222222222222,10.75,9.77777777777778,8.22222222222222,12.5,9.7,6.2,11.45,12.5,9,8.3,6.27777777777778,9,11.7222222222222,9.97222222222222,13.2777777777778,8.3,8.92222222222222,14.25,9,11.8,9.77777777777778,7.95,5.5,9.77777777777778,5.5,9.07777777777778,10.4777777777778,5.57777777777778,9,9,12.5,9,5.5,9.7,9.77777777777778,13.4722222222222,9.77777777777778,9.07777777777778,11.7222222222222,10.75,8.22222222222222,11.8,10.75,10.4777777777778,8.92222222222222,9.77777777777778,9.7,9,8.3,8.22222222222222,8.22222222222222,9,13.2777777777778,12.5,9.97222222222222,12.5,6.2,9.7,9,9.7,13.2777777777778,10.6722222222222,11.5277777777778,12.5,12.5,6.55,11.7222222222222,11.45,9,8.3,10.6722222222222,11.8,9.7,11.45,8.02777777777778,12.5,7.25,9.7,6.2,9,12.5,11.7222222222222,12.5,11.45,13.2777777777778,8.22222222222222,9,9.77777777777778,11.8,10.75,12.5,8.22222222222222,8.3,9.7,8.92222222222222,6.97777777777778,8.92222222222222,9,9,11.7222222222222,10.75,9,10.75,11.7222222222222,9,12.5,10.75,10.05,12.5,8.92222222222222,11.7222222222222,6.27777777777778,9,11.5277777777778,NA
"8","Taltal","Antofagasta",8.625,9.875,7.375,3,4.625,3.5,8.625,9,4.5,5,5.5,7.83333333333334,5.83333333333334,3.58333333333333,9.875,8.91666666666667,8.41666666666667,9.29166666666667,6.08333333333334,5.5,8.625,8.625,7.875,7.25,9.5,3.75,7.875,7,7.875,6.375,8.41666666666667,6.5,5.83333333333334,8.125,6.5,8.91666666666667,5.5,9.58333333333334,9.29166666666667,7.75,7.83333333333334,8.125,8.41666666666667,6.5,6.375,4.625,7.25,9.5,7.08333333333333,7.08333333333333,5.5,7.375,9.58333333333334,4.91666666666667,9.875,5.5,3,9,5.5,7,8.70833333333334,8.91666666666667,3.875,8.125,5.79166666666667,6.5,9,6.08333333333334,5.20833333333333,9.5,8.125,5.25,5.08333333333333,4.91666666666667,7.75,3.875,4.5,5.20833333333333,9.5,9.29166666666667,4.91666666666667,7.5,9,7.5,9.875,4.25,5.5,6.625,7,5.79166666666667,6.5,7,9.875,9.58333333333334,5.5,4.5,9,9.29166666666667,8.125,8.125,9.5,6.5,3.75,9,6.08333333333334,4.625,6.5,8.125,9,3.75,5.125,4.91666666666667,5.125,7.58333333333334,9.29166666666667,8.41666666666667,5.375,6.375,6.125,7.75,5.08333333333333,7,7.83333333333334,5.20833333333333,5.41666666666667,4.625,8.625,9,3.875,7.375,3.875,8.125,5.5,4.625,9,7,5.125,7.25,9.875,4.33333333333333,9,6.375,9.5,6.5,6.375,5.5,6.375,5.41666666666667,5.41666666666667,4.33333333333333,4.25,5.5,8.125,6,7.58333333333334,9,7.375,7.375,9,8.125,8.91666666666667,5.5,6,9.875,6.41666666666667,7,6,4.25,5.5,7.08333333333333,9,6.375,7.25,9,3.75,9,6.625,5,9,8.41666666666667,7.25,7,9,8.125,7,8.41666666666667,6.5,3.875,5.5,6.5,4.91666666666667,9,8.70833333333334,7.25,9,9,7.875,9.5,5.5,7.75,NA
"9","Tocopilla","Antofagasta",10.4,7.25,10.1666666666667,6.9,5.5,5.5,10.1666666666667,11.5666666666667,7.25,9,7.83333333333333,6.9,5.5,9,9.81666666666667,7.25,6.66666666666667,6.66666666666667,11.5666666666667,7.25,9,4.91666666666667,7.25,10.1666666666667,8.65,10.75,5.5,6.66666666666667,7.25,9,10.1666666666667,5.5,6.9,8.41666666666667,9,9.23333333333334,8.41666666666667,9.81666666666667,10.75,8.41666666666667,6.66666666666667,10.75,7.83333333333333,8.65,11.3333333333333,10.75,7.25,9,6.66666666666667,5.5,6.9,4.33333333333333,14.8333333333333,9,9,7.83333333333333,7.25,7.25,4.91666666666667,10.1666666666667,7.83333333333333,9,10.75,9,8.41666666666667,9.81666666666667,9,10.1666666666667,3.75,3.4,11.9166666666667,3.16666666666667,8.65,3.16666666666667,6.66666666666667,5.5,10.1666666666667,8.65,6.66666666666667,7.25,5.5,9,9,7.25,6.66666666666667,10.1666666666667,11.3333333333333,6.66666666666667,8.41666666666667,6.9,10.75,6.66666666666667,6.66666666666667,9,10.1666666666667,9,11.3333333333333,10.4,9,10.1666666666667,4.91666666666667,8.41666666666667,9,7.83333333333333,8.41666666666667,6.66666666666667,9,9.58333333333333,5.5,5.5,7.25,9,13.6666666666667,5.5,6.31666666666667,8.41666666666667,10.4,8.41666666666667,9,7.25,9,9,7.83333333333333,8.41666666666667,9,7.25,10.75,8.41666666666667,6.9,8.41666666666667,10.1666666666667,10.75,6.66666666666667,9,6.66666666666667,9,8.65,9.58333333333333,5.5,9,10.4,10.75,8.41666666666667,9,12.5,7.25,6.66666666666667,7.25,10.75,9,9,9,8.41666666666667,7.25,9,9,8.65,11.9166666666667,3.75,7.83333333333333,8.06666666666667,7.83333333333333,5.5,12.5,9,6.66666666666667,10.4,8.41666666666667,6.9,6.9,8.41666666666667,9,11.9166666666667,8.41666666666667,2,6.66666666666667,7.25,5.5,6.66666666666667,5.5,10.75,8.06666666666667,9,9,5.5,8.65,10.75,10.75,9,9,11.9166666666667,5.5,9,6.9,8.41666666666667,9,2,8.41666666666667,9.58333333333333,7.25,NA
"10","Desconocido Antofagasta","Antofagasta",37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,NA
